,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-149.77438737083918,-109.66318726820924,-179.53504867660655,21.335136416290307,,
1,0,-51.87211998170237,-12.052403943517707,-87.227742819428,21.92459775411333,0.028131945058703423,1.0455187559127808
2,1,106.03354176415591,170.38373071333862,65.76166894996354,29.023084603445017,0.02335541509091854,0.0418880358338356
3,2,136.4996843906335,183.80331520774462,56.82152473719415,33.96835756239893,0.01162770763039589,0.022184548899531364
4,3,172.32926245909442,262.99547764159894,100.68789617202077,42.18569311584838,0.008684532716870308,0.016953054815530777
5,4,248.12864570456827,319.0261376472592,179.19487413388464,38.266658308179544,0.007757894229143858,0.014489089138805866
6,5,285.8254662671619,353.9063825773959,216.13747901202646,44.86154659320475,0.010812267661094666,0.011827169917523861
7,6,280.11398524973663,398.76716650336095,208.82282948170769,62.47831358038577,0.007440974470227957,0.00846448540687561
8,7,278.7766850373081,377.73111548777933,218.45869210146267,46.41509511077916,0.008314642123878002,0.008391983807086945
9,8,315.55573994235726,395.51988822038487,279.6927297443188,35.17339486559761,0.0063550579361617565,0.00668523320928216
10,9,335.6850612828189,426.5707684049493,248.15287056183868,48.8464667617366,0.006709666457027197,0.007534559816122055
11,10,335.63144415996453,403.42985395781193,250.22510880169278,46.51831754959015,0.005006034392863512,0.005817776080220938
