,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-152.13883154835597,-132.03511256797128,-193.31700656520368,19.282003586282585,,
1,0,-105.76213571628693,-76.18112640801203,-130.6697996648454,15.429444218621764,0.03322488069534302,1.1003369092941284
2,1,-87.80690192957623,-53.48414289906828,-119.43960607727715,18.615596120628524,0.02411009930074215,0.035707853734493256
3,2,-85.53813661808735,-44.98849721293846,-131.72381865538773,25.83527768020357,0.013312611728906631,0.023835230618715286
4,3,-77.7040129168062,-22.97404361732573,-124.07473351783236,28.073514136627516,0.008241591975092888,0.01611914485692978
5,4,-74.03079174669746,-42.40592745388879,-101.77411211818017,16.39044252057421,0.007465144619345665,0.012729795649647713
6,5,-66.52664737829261,-45.76650500138152,-100.1008168368409,14.902070125117056,0.005880593787878752,0.010140368714928627
7,6,-59.46103971380254,-31.501581961582303,-85.15063668511014,16.961152997488366,0.004701078403741121,0.005242213141173124
8,7,-60.847544924757884,-19.636862457147142,-83.10215991472754,20.472765565158,0.004523428622633219,0.005613270681351423
9,8,-50.54536030362256,14.347377544412522,-82.86851377807633,34.18126622435113,0.004294464830309153,0.004898292478173971
10,9,-55.88712414737729,-15.12856665598077,-91.38984263842804,22.471025391237564,0.004285545088350773,0.005410898942500353
11,10,-60.90567993511638,-20.196075696584604,-94.78402183739158,22.454916220027812,0.004046435002237558,0.003975678700953722
